0.05,0.83553,-1.3871,0.52963
0.0501,0.87732,-1.3784,0.4815
0.0502,0.91788,-1.3677,0.43286
0.0503,0.95712,-1.355,0.38377
0.0504,0.99499,-1.3405,0.33431
0.0505,1.0314,-1.3241,0.28453
0.0506,1.0664,-1.3059,0.23444
0.0507,1.0999,-1.2858,0.1841
0.0508,1.1318,-1.2639,0.13351
0.0509,1.1621,-1.2403,0.082676
0.051,1.1909,-1.2149,0.031622
0.0511,1.218,-1.1878,-0.01961
0.0512,1.2435,-1.1591,-0.070981
0.0513,1.2674,-1.1287,-0.12244
0.0514,1.2894,-1.0969,-0.17391
0.0515,1.3098,-1.0635,-0.22531
0.0516,1.3282,-1.0287,-0.27655
0.0517,1.3448,-0.9926,-0.32753
0.0518,1.3594,-0.9552,-0.37813
0.0519,1.3719,-0.91659,-0.42825
0.052,1.3823,-0.87683,-0.47776
0.0521,1.3906,-0.83598,-0.52657
0.0522,1.3966,-0.79409,-0.57457
0.0523,1.4003,-0.75121,-0.62169
0.0524,1.4018,-0.70737,-0.66783
0.0525,1.401,-0.66263,-0.71295
0.0526,1.3979,-0.61702,-0.757
0.0527,1.3925,-0.57059,-0.79994
0.0528,1.385,-0.52337,-0.84176
0.0529,1.3754,-0.47541,-0.88242
0.053,1.3637,-0.42676,-0.92193
0.0531,1.35,-0.37748,-0.96027
0.0532,1.3345,-0.32762,-0.99742
0.0533,1.3171,-0.27727,-1.0334
0.0534,1.298,-0.2265,-1.0681
0.0535,1.2772,-0.17538,-1.1015
0.0536,1.2548,-0.12399,-1.1336
0.0537,1.2308,-0.072394,-1.1642
0.0538,1.2053,-0.020669,-1.1934
0.0539,1.1782,0.031095,-1.2209
0.054,1.1496,0.082816,-1.2467
0.0541,1.1194,0.13441,-1.2707
0.0542,1.0878,0.18581,-1.2929
0.0543,1.0547,0.23694,-1.313
0.0544,1.02,0.28772,-1.331
0.0545,0.98396,0.33811,-1.3469
0.0546,0.94646,0.38803,-1.3606
0.0547,0.9076,0.43743,-1.3721
0.0548,0.86741,0.48625,-1.3813
0.0549,0.82598,0.53445,-1.3883
0.055,0.78338,0.58197,-1.393
0.0551,0.73971,0.62874,-1.3956
0.0552,0.69505,0.67472,-1.396
0.0553,0.64951,0.71984,-1.3943
0.0554,0.60317,0.76405,-1.3907
0.0555,0.55613,0.80727,-1.385
0.0556,0.50846,0.84944,-1.3775
0.0557,0.46023,0.8905,-1.368
0.0558,0.4115,0.93037,-1.3567
0.0559,0.36232,0.969,-1.3435
0.056,0.31272,1.0063,-1.3285
0.0561,0.26275,1.0423,-1.3117
0.0562,0.21242,1.0768,-1.2929
0.0563,0.16177,1.1098,-1.2724
0.0564,0.11083,1.1412,-1.25
0.0565,0.059594,1.1711,-1.2257
0.0566,0.0081238,1.1993,-1.1997
0.0567,-0.043523,1.2258,-1.1719
0.0568,-0.095274,1.2506,-1.1424
0.0569,-0.14705,1.2735,-1.1113
0.057,-0.19875,1.2947,-1.0786
0.0571,-0.25027,1.3139,-1.0444
0.0572,-0.3015,1.3312,-1.0089
0.0573,-0.35234,1.3465,-0.97203
0.0574,-0.40268,1.3599,-0.93398
0.0575,-0.45241,1.3711,-0.8948
0.0576,-0.50145,1.3803,-0.85457
0.0577,-0.5497,1.3873,-0.81333
0.0578,-0.5971,1.3922,-0.77115
0.0579,-0.6436,1.3949,-0.72804
0.058,-0.68913,1.3955,-0.68406
0.0581,-0.73367,1.3938,-0.63921
0.0582,-0.77718,1.39,-0.59351
0.0583,-0.81964,1.3841,-0.54699
0.0584,-0.86104,1.3761,-0.49966
0.0585,-0.90134,1.366,-0.45156
0.0586,-0.94053,1.3539,-0.40272
0.0587,-0.97857,1.3398,-0.3532
0.0588,-1.0154,1.3237,-0.30307
0.0589,-1.051,1.3058,-0.2524
0.059,-1.0853,1.2861,-0.20128
0.0591,-1.1183,1.2647,-0.14981
0.0592,-1.1497,1.2415,-0.098072
0.0593,-1.1797,1.2167,-0.046172
0.0594,-1.2079,1.1903,0.0057871
0.0595,-1.2345,1.1624,0.057696
0.0596,-1.2592,1.1329,0.10946
0.0597,-1.1695,0.51682,0.81026
0.0598,-1.1302,0.11836,1.2512
0.0599,-1.0974,-0.26219,1.6525
0.06,-1.0565,-0.64428,2.028
0.0601,-1.0067,-1.0262,2.3735
0.0602,-0.9642,-1.3917,2.687
0.0603,-0.93035,-1.7418,2.9781
0.0604,-0.88603,-2.1023,3.2626
0.0605,-0.82384,-2.4906,3.5458
0.0606,-0.76441,-2.8855,3.8288
0.0607,-0.71411,-3.2761,4.1037
0.0608,-0.67019,-3.662,4.3683
0.0609,-0.62844,-4.047,4.621
0.061,-0.58631,-4.4267,4.8543
0.0611,-0.54376,-4.7918,5.0594
0.0612,-0.50478,-5.1367,5.234
0.0613,-0.46934,-5.4719,5.3961
0.0614,-0.43366,-5.8028,5.5475
0.0615,-0.39297,-6.1385,5.6939
0.0616,-0.35358,-6.4765,5.8359
0.0617,-0.31963,-6.81,5.9692
0.0618,-0.28902,-7.1376,6.0893
0.0619,-0.25853,-7.4633,6.1951
0.062,-0.22598,-7.7857,6.2833
0.0621,-0.19051,-8.0926,6.3418
0.0622,-0.15536,-8.3704,6.3605
0.0623,-0.12124,-8.6175,6.3392
0.0624,-0.083291,-8.8424,6.2864
0.0625,-0.041819,-9.0504,6.2102
0.0626,-0.0059823,-9.2409,6.1195
0.0627,0.021279,-9.4176,6.0227
0.0628,0.046921,-9.5919,5.9271
0.0629,0.075156,-9.7724,5.8356
0.063,0.10328,-9.9563,5.7456
0.0631,0.13012,-10.136,5.6512
0.0632,0.15641,-10.308,5.5485
0.0633,0.18116,-10.468,5.4333
0.0634,0.20395,-10.61,5.3004
0.0635,0.22492,-10.725,5.1441
0.0636,0.24125,-10.813,4.9644
0.0637,0.2518,-10.876,4.7663
0.0638,0.26049,-10.922,4.5553
0.0639,0.27132,-10.959,4.336
0.064,0.28365,-10.99,4.1112
0.0641,0.29791,-11.013,3.878
0.0642,0.31562,-11.025,3.6324
0.0643,0.3353,-11.024,3.373
0.0644,0.35396,-11.006,3.1004
0.0645,0.37072,-10.966,2.8117
0.0646,0.38366,-10.897,2.505
0.0647,0.39151,-10.801,2.1822
0.0648,0.39737,-10.683,1.8478
0.0649,0.40474,-10.55,1.5072
0.065,0.41147,-10.41,1.1675
0.0651,0.41561,-10.266,0.83474
0.0652,0.41906,-10.123,0.51218
0.0653,0.42274,-9.9837,0.19997
0.0654,0.42388,-9.8422,-0.10447
0.0655,0.42136,-9.6908,-0.40713
0.0656,0.41577,-9.524,-0.7133
0.0657,0.40751,-9.3386,-1.0263
0.0658,0.39782,-9.1316,-1.3493
0.0659,0.38934,-8.9004,-1.6864
0.066,0.38246,-8.6459,-2.0379
0.0661,0.37648,-8.3723,-2.4003
0.0662,0.37166,-8.0849,-2.7683
0.0663,0.36761,-7.7892,-3.136
0.0664,0.36208,-7.4892,-3.4974
0.0665,0.35492,-7.1856,-3.8505
0.0666,0.34743,-6.8766,-4.1969
0.0667,0.33969,-6.5603,-4.5382
0.0668,0.33152,-6.2353,-4.8751
0.0669,0.32406,-5.9002,-5.2094
0.067,0.31628,-5.5533,-5.5419
0.0671,0.30583,-5.1946,-5.8716
0.0672,0.29289,-4.8269,-6.1961
0.0673,0.27874,-4.4546,-6.5124
0.0674,0.26166,-4.0817,-6.8158
0.0675,0.2407,-3.7115,-7.1023
0.0676,0.21825,-3.3467,-7.3704
0.0677,0.19664,-2.9882,-7.6209
0.0678,0.17581,-2.6324,-7.8575
0.0679,0.15648,-2.273,-8.0869
0.068,0.13927,-1.9047,-8.3149
0.0681,0.12267,-1.5246,-8.5444
0.0682,0.10486,-1.1306,-8.776
0.0683,0.086039,-0.72283,-9.0099
0.0684,0.066147,-0.30435,-9.2432
0.0685,0.045015,0.11939,-9.4708
0.0686,0.023885,0.54223,-9.6877
0.0687,0.0041357,0.95814,-9.8887
0.0688,-0.014867,1.3623,-10.068
0.0689,-0.033647,1.7531,-10.225
0.069,-0.052267,2.1325,-10.359
0.0691,-0.071836,2.5041,-10.474
0.0692,-0.093901,2.8712,-10.573
0.0693,-0.11839,3.2362,-10.658
0.0694,-0.14535,3.6002,-10.731
0.0695,-0.17502,3.9625,-10.793
0.0696,-0.20592,4.3205,-10.842
0.0697,-0.23545,4.671,-10.877
0.0698,-0.26318,5.0112,-10.898
0.0699,-0.28945,5.3395,-10.902
0.07,-0.31386,5.6551,-10.89
0.0701,-0.33654,5.9588,-10.861
