0.05,2.2882,-0.50982,-1.7661
0.0501,2.2586,-0.42141,-1.8259
0.0502,2.2257,-0.33245,-1.8833
0.0503,2.1895,-0.24306,-1.9382
0.0504,2.1501,-0.15336,-1.9905
0.0505,2.1077,-0.06347,-2.0401
0.0506,2.0622,0.026465,-2.087
0.0507,2.0137,0.11632,-2.131
0.0508,1.9624,0.20597,-2.1722
0.0509,1.9083,0.29528,-2.2103
0.051,1.8515,0.38412,-2.2453
0.0511,1.792,0.47237,-2.2771
0.0512,1.73,0.5599,-2.3058
0.0513,1.6655,0.64662,-2.3311
0.0514,1.3654,1.2528,-2.404
0.0515,1.1404,1.6492,-2.4535
0.0516,0.91533,2.0131,-2.4972
0.0517,0.69065,2.3568,-2.5417
0.0518,0.46746,2.6798,-2.5892
0.0519,0.24528,2.9768,-2.6297
0.052,0.024442,3.2515,-2.6602
0.0521,-0.19721,3.5184,-2.6923
0.0522,-0.42182,3.7839,-2.7296
0.0523,-0.65099,4.0419,-2.761
0.0524,-0.8839,4.2858,-2.7826
0.0525,-1.1211,4.5168,-2.7982
0.0526,-1.3605,4.7302,-2.8068
0.0527,-1.5983,4.931,-2.8123
0.0528,-1.8298,5.1109,-2.8146
0.0529,-2.0556,5.2705,-2.8106
0.053,-2.2775,5.414,-2.7981
0.0531,-2.497,5.5479,-2.7812
0.0532,-2.7156,5.6756,-2.7628
0.0533,-2.9362,5.7962,-2.7397
0.0534,-3.1584,5.9051,-2.7096
0.0535,-3.3817,6.001,-2.6746
0.0536,-3.6061,6.0853,-2.6367
0.0537,-3.8297,6.1566,-2.5967
0.0538,-4.0456,6.2073,-2.5554
0.0539,-4.2486,6.2308,-2.5111
0.054,-4.4372,6.2277,-2.4631
0.0541,-4.6123,6.2059,-2.4152
0.0542,-4.7753,6.1702,-2.3679
0.0543,-4.9303,6.1212,-2.3143
0.0544,-5.0806,6.0611,-2.2523
0.0545,-5.2291,5.9978,-2.1879
0.0546,-5.377,5.9345,-2.1232
0.0547,-5.5245,5.868,-2.0544
0.0548,-5.6693,5.7943,-1.9813
0.0549,-5.8103,5.7133,-1.9058
0.055,-5.9459,5.6227,-1.8267
0.0551,-6.0727,5.5185,-1.7434
0.0552,-6.1869,5.3978,-1.6579
0.0553,-6.2891,5.2615,-1.5693
0.0554,-6.3807,5.1109,-1.4754
0.0555,-6.4634,4.9494,-1.3784
0.0556,-6.5385,4.7808,-1.2817
0.0557,-6.6078,4.6068,-1.1845
0.0558,-6.6702,4.4255,-1.0865
0.0559,-6.7239,4.2359,-0.98984
0.056,-6.7686,4.0381,-0.89406
0.0561,-6.8042,3.8323,-0.79747
0.0562,-6.8278,3.6165,-0.70009
0.0563,-6.8371,3.3882,-0.6011
0.0564,-6.8316,3.1476,-0.49936
0.0565,-6.8119,2.8987,-0.39694
0.0566,-6.7794,2.6452,-0.29597
0.0567,-6.7379,2.3897,-0.19403
0.0568,-6.6914,2.1343,-0.089475
0.0569,-6.6426,1.8825,0.015454
0.057,-6.5925,1.6355,0.11981
0.0571,-6.541,1.3911,0.22552
0.0572,-6.4858,1.1461,0.33245
0.0573,-6.4245,0.8992,0.43951
0.0574,-6.3547,0.64848,0.54718
0.0575,-6.2732,0.39148,0.65489
0.0576,-6.1766,0.12647,0.76016
0.0577,-6.0644,-0.1463,0.86283
0.0578,-5.9379,-0.42558,0.96381
0.0579,-5.7996,-0.70836,1.0621
0.058,-5.653,-0.99099,1.1574
0.0581,-5.5015,-1.2705,1.2514
0.0582,-5.3458,-1.5458,1.3439
