0.05,0.019787,-0.66345,0.67124
0.0501,0.049312,-0.6782,0.65557
0.0502,0.07885,-0.6922,0.63875
0.0503,0.10827,-0.70538,0.62085
0.0504,0.13746,-0.71767,0.60193
0.0505,0.1663,-0.72899,0.58207
0.0506,0.19467,-0.73928,0.56137
0.0507,0.22247,-0.74849,0.53989
0.0508,0.24964,-0.75658,0.51771
0.0509,0.27614,-0.76351,0.49488
0.051,0.30194,-0.76926,0.47143
0.0511,0.32707,-0.77383,0.44739
0.0512,0.35159,-0.77724,0.42275
0.0513,0.37557,-0.77954,0.39754
0.0514,0.3991,-0.78079,0.37177
0.0515,0.42224,-0.78104,0.34547
0.0516,0.44503,-0.78034,0.31869
0.0517,0.46751,-0.77872,0.29146
0.0518,0.48965,-0.77621,0.26384
0.0519,0.51143,-0.77279,0.23586
0.052,0.53281,-0.76842,0.20759
0.0521,0.55372,-0.76306,0.17907
0.0522,0.57408,-0.75664,0.15037
0.0523,0.59379,-0.74912,0.12155
0.0524,0.61275,-0.74041,0.09268
0.0525,0.63087,-0.73044,0.063833
0.0526,0.64803,-0.71916,0.035062
0.0527,0.66416,-0.70652,0.0064144
0.0528,0.67918,-0.69247,-0.02208
0.0529,0.69306,-0.67702,-0.050411
0.053,0.7058,-0.66018,-0.078578
0.0531,0.71741,-0.64199,-0.10658
0.0532,0.72794,-0.62255,-0.13442
0.0533,0.73746,-0.60197,-0.16209
0.0534,0.74603,-0.58038,-0.18956
0.0535,0.75371,-0.55791,-0.21681
0.0536,0.76058,-0.53468,-0.24382
0.0537,0.76668,-0.51083,-0.27055
0.0538,0.77204,-0.48645,-0.29696
0.0539,0.77669,-0.46164,-0.32302
0.054,0.78062,-0.43647,-0.34868
0.0541,0.7838,-0.41098,-0.3739
0.0542,0.78618,-0.38522,-0.39864
0.0543,0.78768,-0.35922,-0.42283
0.0544,0.78819,-0.33297,-0.4464
0.0545,0.78761,-0.30646,-0.46929
0.0546,0.78582,-0.27967,-0.49145
0.0547,0.78274,-0.25255,-0.51284
0.0548,0.77825,-0.22508,-0.53345
0.0549,0.77232,-0.19724,-0.55326
0.055,0.7649,-0.16901,-0.57228
0.0551,0.75599,-0.14042,-0.59053
0.0552,0.74563,-0.11151,-0.608
0.0553,0.73385,-0.082344,-0.62469
0.0554,0.72073,-0.053,-0.64062
0.0555,0.70634,-0.023561,-0.65579
0.0556,0.62866,-0.36676,-3.9119
0.0557,0.58973,-0.4613,-5.0293
0.0558,0.55766,-0.49638,-5.6109
0.0559,0.53376,-0.54853,-6.2362
0.056,0.53201,-0.57563,-6.5544
0.0561,0.52255,-0.56774,-6.6566
0.0562,0.48639,-0.58844,-7.0991
0.0563,0.45714,-0.65879,-7.8861
0.0564,0.44293,-0.75007,-8.7581
0.0565,0.41067,-0.84192,-9.7171
0.0566,0.36718,-0.91185,-10.549
0.0567,0.33207,-0.94169,-11.025
0.0568,0.29923,-0.94868,-11.292
0.0569,0.26968,-0.94247,-11.432
0.057,0.25203,-0.9242,-11.409
0.0571,0.22946,-0.91775,-11.517
0.0572,0.18269,-0.95472,-12.085
0.0573,0.12772,-1.0284,-12.993
0.0574,0.077452,-1.1146,-13.974
0.0575,0.025832,-1.1834,-14.817
0.0576,-0.02316,-1.2062,-15.251
0.0577,-0.055651,-1.1791,-15.194
0.0578,-0.079425,-1.1312,-14.922
0.0579,-0.10075,-1.0773,-14.594
0.058,-0.11314,-1.0121,-14.112
0.0581,-0.12117,-0.94072,-13.558
0.0582,-0.13821,-0.88666,-13.182
0.0583,-0.15635,-0.85497,-12.99
0.0584,-0.17324,-0.83189,-12.851
0.0585,-0.20258,-0.80055,-12.717
0.0586,-0.24087,-0.75476,-12.502
0.0587,-0.26509,-0.69383,-12.092
0.0588,-0.27904,-0.6237,-11.553
0.0589,-0.29907,-0.5505,-11.035
0.059,-0.32273,-0.48565,-10.592
0.0591,-0.34501,-0.43814,-10.284
0.0592,-0.37699,-0.40387,-10.122
0.0593,-0.41398,-0.36254,-9.9193
0.0594,-0.44158,-0.30325,-9.4988
0.0595,-0.46252,-0.22556,-8.8942
0.0596,-0.48488,-0.12829,-8.1327
0.0597,-0.49785,-0.010204,-7.1585
0.0598,-0.49797,0.11606,-6.0488
0.0599,-0.49554,0.24162,-4.9372
0.06,-0.49351,0.36653,-3.8192
0.0601,-0.48803,0.48579,-2.7243
0.0602,-0.48863,0.5858,-1.804
0.0603,-0.4994,0.67121,-1.0458
0.0604,-0.51205,0.7592,-0.25488
0.0605,-0.52242,0.85748,0.63489
0.0606,-0.53269,0.96022,1.5691
0.0607,-0.53594,1.0654,2.557
0.0608,-0.5314,1.1711,3.5905
0.0609,-0.53298,1.2724,4.5492
0.061,-0.54016,1.367,5.4362
0.0611,-0.54508,1.4602,6.3311
0.0612,-0.55149,1.5557,7.2522
0.0613,-0.56042,1.6591,8.2328
0.0614,-0.5658,1.7722,9.3222
0.0615,-0.56532,1.8927,10.5
0.0616,-0.56241,2.0189,11.739
0.0617,-0.55263,2.1537,13.08
0.0618,-0.53349,2.2918,14.497
0.0619,-0.51293,2.4236,15.864
0.062,-0.49734,2.5449,17.122
0.0621,-0.48433,2.6565,18.291
0.0622,-0.47631,2.7574,19.355
0.0623,-0.47525,2.8515,20.333
0.0624,-0.47488,2.9459,21.322
0.0625,-0.47027,3.0423,22.353
0.0626,-0.46681,3.1361,23.365
0.0627,-0.46723,3.2277,24.353
0.0628,-0.47133,3.3201,25.361
0.0629,-0.48552,3.4147,26.383
0.063,-0.5195,3.5109,27.401
0.0631,-0.57744,3.6108,28.447
0.0632,-0.66618,3.7159,29.534
0.0633,-0.78492,3.8262,30.636
0.0634,-0.90633,3.9403,31.76
0.0635,-0.99681,4.0556,32.916
0.0636,-1.0477,4.1675,34.064
0.0637,-1.0666,4.2733,35.168
0.0638,-1.0682,4.3693,36.21
0.0639,-1.072,4.4529,37.151
0.064,-1.0903,4.5256,37.981
0.0641,-1.1182,4.5935,38.756
0.0642,-1.15,4.6582,39.506
0.0643,-1.1814,4.7182,40.213
0.0644,-1.1983,4.7727,40.879
0.0645,-1.1847,4.8205,41.508
0.0646,-1.1377,4.8571,42.058
0.0647,-1.056,4.8817,42.51
